text,label
The Federal Reserve raised interest rates by 0.25 percent to control inflation.,REAL
NASA successfully launched a satellite to monitor climate change.,REAL
Apple unveiled a new iPhone model with improved camera and battery life.,REAL
The United Nations announced new climate agreements to reduce global emissions.,REAL
Researchers developed an AI model that detects early cancer symptoms.,REAL
India launched a new digital payment initiative to improve financial inclusion.,REAL
Scientists discovered a new species of deep sea fish in the Pacific Ocean.,REAL
The World Health Organization released updated guidelines on global vaccination.,REAL
Tesla announced plans to expand electric vehicle production.,REAL
The government approved funding for renewable energy projects.,REAL
Scientists claim a miracle cure can eliminate all viruses within two weeks.,FAKE
Drinking lemon water every morning cures cancer completely.,FAKE
Government officials secretly confirmed aliens built a city under Antarctica.,FAKE
A viral post claims the moon landing was staged in a secret studio.,FAKE
Researchers say chocolate can replace vaccines completely.,FAKE
A secret government project will make humans immortal within 10 years.,FAKE
A new herbal drink can cure diabetes instantly.,FAKE
Aliens are secretly controlling world governments.,FAKE
A conspiracy theory claims smartphones are secretly reading human thoughts.,FAKE
An article claims a secret island hides a cure for all diseases.,FAKE
NASA confirms that the earth will experience a complete internet blackout tomorrow.,FAKE
Scientists discovered a plant that allows humans to live for 200 years.,FAKE
A blog claims vaccines contain hidden microchips.,FAKE
A viral rumor says drinking saltwater can cure COVID-19.,FAKE
Experts reveal a secret formula that eliminates aging.,FAKE
The central bank announced a new policy to stabilize the economy.,REAL
Microsoft introduced a new AI tool for developers.,REAL
Scientists created a new biodegradable plastic to reduce pollution.,REAL
The European Union announced stricter data privacy laws.,REAL
The World Bank approved funding for infrastructure development.,REAL
Researchers developed a new malaria vaccine.,REAL
Google launched a new cybersecurity initiative.,REAL
Japan announced plans to increase renewable energy production.,REAL
Scientists discovered a new method to store solar energy efficiently.,REAL
A new study reveals the benefits of regular exercise for heart health.,REAL
A viral video claims the sun will disappear next year.,FAKE
A fake article says dinosaurs are secretly living underground.,FAKE
Scientists supposedly confirmed time travel will be possible next year.,FAKE
A rumor claims all computers will stop working worldwide tomorrow.,FAKE
A conspiracy blog says the ocean hides a secret alien civilization.,FAKE
A fake report claims gravity will stop working for five minutes tomorrow.,FAKE
A viral claim says eating ice cream cures all illnesses.,FAKE
An article claims that invisible cities exist in the sky.,FAKE
A blog says the government controls the weather using secret machines.,FAKE
A rumor claims humans will be able to breathe underwater next year.,FAKE